;text;option_1;option_2;option_3;option_4;N;Type;Order;Keywords
q36519;Do you stop to enjoy simple things in nature?;Often.;Sometimes.;Rarely.;Never.;17801;O;;descriptive
q36524;When riding a bicycle, do you wear a helmet?;Yes, all the time;Yes, some of the time;Rarely or never;I don't ride bicycles;20055;M;[4];descriptive
q36622;Do you prefer to sleep with the lights on or off?;I like it completely dark.;I like a little light.;I like it to be bright.;;5494;O;;preference
q36626;How often do you find yourself holding back your knowledge of a subject because of how it might affect your image?;Very often.;Sometimes.;Rarely.;Never.;8585;O;;descriptive
q36628;You're in bed, spooning behind your partner.  Where would your hand(s) most likely be?;Partner's stomach.;Partner's genitalia.;Partner's chest / breast / heart.;I don't spoon - I only fork.;19232;N;;sex/intimacy
q36631;Is there any genre of music that you completely refuse to listen to?;Yes.;No.;I don't listen to music.;;12984;M;[3];descriptive
q36642;Is supporting 'the troops' the same thing as supporting a war (or conflict)?;Yes.;No.;I'm not sure.;;7154;O;2, 3, 1;"politics; opinion"
q36654;What is your favorite transportation medium?;Land (trains, buses, cars, bikes, feet, etc.);Sea (ships, boats, submarines, etc.);Air (airplanes, rockets, dirigibles, etc.);Other.;11478;N;;preference
q36666;Of these four educational subject areas, which is your favorite?;Language;Mathematics;Science;History;23021;N;;"descriptive; cognitive"
q36671;Would you consider dating or forming an otherwise sexual or romantic relationship with someone who hates your sex/gender?;Yes.;No.;;;5324;O;;preference
q36678;Do you go to the tanner?;Yes;No;For special occaisons;I get my tan naturally;8966;M;2, 3, 1, [4];descriptive
q36679;Do you approve of public nudity?;Yes.;No.;;;5627;O;;"politics; preference"
q36690;Would you rather hang out with someone you don't particularly like, or be alone?;Any company is better than none.;I'd rather be alone.;;;1736;O;;preference
q36695;Which is your preferred method of learning?;Traditional classroom;Computer-based instruction;Self study / reading;Other;11162;N;;"preference; descriptive"
q36790;Let's say you are in line at a grocery store and have many items.  The person behind you just has only one or two.  Do you offer to let them go ahead of you?;Yes.  Always.;Yes, unless I am otherwise in a hurry.;No.  Never.;;27742;O;;descriptive
q36804;If you had to choose one, which type of cheating bothers you the most?;Cheating on a partner.;Cheating on a test.;Cheating on taxes.;Cheating does not bother me.;6721;N;;preference
q36823;Stereo on during sex?;Always.;It depends on the music.;It depends on the sex.;Never.;15435;O;4, (2, 3), 1;sex/intimacy
q36877;Men who wax their chests are...;SEXY!;A little vain in my book.;Kinda creepy.;I don't care.;15416;N;;"preference; opinion"
q36970;Would you be willing to dress up as a member of the opposite sex if it would turn your partner on?;If it excites them, I'd even do it in public.;Yes, but only in private.;No.;I do it already!;12299;O;4, 1, 2, 3;"sex/intimacy; preference"
q36984;Could you date someone who was very funny, but could never take anything seriously?;Yes;No;;;3496;O;;preference
q37044;Would you read a book recommended to you by a significant other?;Yes.;No.;Maybe, depending on the book.;;12914;O;2, 3, 1;"preference; descriptive"
q37070;Which is your preferred communications medium for long-distance relationships?;Voice / video;Chat / email;Other;I don't do long-distance relationships;5828;N;;preference
q37115;Let's say you ask your partner a question and know with certaintly that their answer is a lie, what do you do about it?;Ignore it.;Discreetly probe for more information.;Call them out and see where it goes.;Terminate the relationship, effective immediately.;8966;O;;"preference; descriptive"
q37146;Is there any aspect of your sexuality that you would be too embarrassed to ever share with a match?;Yes;No;;;17012;O;;sex/intimacy
q37151;Before people find out your real age, what do they usually assume?;That I'm younger than I really am.;That I'm older than I really am.;They are usually very close.;I haven't noticed a pattern.;18655;M;2, 3, 1, [4];descriptive
q37154;Suppose one day, your spouse comes home and announces that the two of you will be forever taken care of financially, but only so long as the details remain secret to you, else you will both face financial ruin. How much would this bother you?;A lot, I could not live like that.;A little, but my money and I would get over it.;Not at all.  Show me the money.;;7455;O;;"preference; descriptive"
q37263;Would you consider dating a person who rescues stray animals from the streets and brings them home?;Yes.;No.;;;2893;O;;preference
q37270;If a close friend asks you to come out to a club or bar that does not fit with your own sexual preferences, would you go along?;Yes.;No.;;;3931;O;;"preference; descriptive"
q37271;After a serious relationship, how long should you wait before casually dating?;A few weeks.;A few months.;At least a year.;Why wait?;2280;O;;opinion
q37280;If you were abducted by aliens and were allowed to bring only one form of entertainment, which would it be?;Literature;TV/Movies/Music;Video games;A hydrogen bomb;4756;N;;preference
q37314;Which of the following 'solutions' do you think would provide the biggest reduction in crime rates?;More and better trained police;More and better armed civilians;More and better implemented social programs;More severe punishment for convicted criminals;13000;N;;"politics; opinion"
q37320;How often do you interrupt people?;Never.;Rarely.;Often.;Always.;17417;O;;descriptive
q37353;With respect to climate, I would prefer to live somewhere where:;It is hot and summer-like throughout the year.;There are four distinct seasons.;It is consitently and comfortably average.;There is a long, cold, and snowy winter.;8354;N;;preference
q37371;Imagine that scientists create a new drug.  When swallowed as a pill, it will completely and permanently eliminate feelings of guilt for prior events.  Testing reveals that there are no harmful medical side effects.  How should this pill be distributed?;Over the counter to anyone who wants it.;By doctor's prescription only.;It should not be distributed at all.;;9060;O;;politics
q37389;Would you consider inviting a previous sex partner to your own wedding, if you are only friends now?;Yes.;No.;;;4124;O;;preference
q37425;How familiar are you with the methods OkCupid uses to match people?;Very familiar.;Somewhat familiar.;Not familiar.;;8605;O;;descriptive
q37440;Would you be willing to date someone who your pet clearly dislikes?;Yes.;No.;I do not have a pet.;;3929;M;[3];preference
q37545;Is 'just be yourself' good advice?;Absolutely.;It's vacuous. Who else can I be?;Not quite. I mind how I come off.;No. I misrepresent myself as needed.;9259;O;;"opinion; descriptive"
q37604;Do you believe that, when a soldier kills an enemy soldier in combat during a war, it is murder?;Yes.;No.;;;10696;O;;politics
q37664;Does forbidden fruit taste better?;Yes.;No.;I'm Not Sure.;;1752;O;2, 3, 1;"preference; opinion"
q37676;Are you in favor of age restrictions on drinking alcohol?;Yes, on purchase only.;Yes, on purchase and consumption.;No.;;3410;O;;politics
q37677;Have you ever participated in a high school or college marching band?;Yes.;No.;Both.;;9440;O;3, 1, 2;descriptive
q37681;Have instant ramen noodles ever been your nutritional mainstay for more than 2 weeks?;Yes.;No.;;;13381;O;;descriptive
q37693;Would you be willing to date someone who plays video games almost every day, for at least 2 hours?;Yes, I'd be playing with them.;Yes, but I would not play that much.;Yes, but I don't like video games.;No.;36165;O;;"preference; descriptive"
q37695;Not including Halloween, do you enjoy dressing up in costumes?;Yes - Every chance I get.;Yes - On occasion.;I think that I might, but I do not.;No.;20092;O;;preference
q37708;The idea of gay and lesbian couples having children is:;Acceptable.;Not acceptable.;;;37661;O;;"politics; religion/superstition; opinion"
q37746;Do you enjoy visiting amusement parks?;Yes.;No.;I'm not sure.;;16045;O;2, 3, 1;"descriptive; preference"
q37747;How do you consider yourself to be in terms of logic and emotion?;Mostly logical;Mostly emotional;Equally logical and emotional;Neither logical nor emotional;5070;M;2, 3, 1, [4];"descriptive; cognitive"
q37748;Even if it isn't your personal style, would you dress accordingly to a partner's wishes, just to make them happy during an outing?;Yes, without question.;Yes, within reason.;No.;;6616;O;;preference
q37749;If you are dating someone consistently, but you have not yet decided as a couple to have an exclusive relationship, would you change your OkCupid status to 'Seeing Someone'?;Yes.;No.;I'm not sure.;;2863;O;2, 3, 1;"descriptive; preference"
q37759;If a very skinny stray cat were to come to your doorstep, would you feed it, believing that if you did, it would probably keep coming back?;Yes - I would consider adopting it.;Yes, but I could make no further commitment to it.;No - Someone else should feed it.;No - I would try to scare it away.;7311;O;;"preference; descriptive"
q37764;How often do you read your horoscope?;Daily.;Weekly.;Occasionally.;Never.;20171;O;;"religion/superstition; descriptive"
q37765;How often do you hang out at coffee shops / cafes?;Two or more times a week.;From once a month to once a week.;Less than once a month.;Never.;17413;O;;descriptive
q37772;If you had to choose one for the rest of your life, which would you pick?;Monogamy;An open relationship;Polyamory;Playing the field;12646;O;;preference
q37778;Have you ever written a book?;Yes.;No.;;;8400;O;;descriptive
q37815;Are you more polite to strangers or friends?;Strangers.;Friends.;I'm equally polite to both.;I'm generally rude to both.;4265;M;2, 3, 1, [4];descriptive
q37845;Do you read the dedications and introductions when you're reading a book?;Yes, always or almost always;Occasionally, if I'm interested;No, I just get right to it;I don't read / don't read books with introductions;19831;M;[4];descriptive
q37873;Would you continue to date someone who you felt would always put their pet(s) before you?;Yes.;No.;;;4120;O;;descriptive
q37886;Would you be afraid if you were walking alone on a city sidewalk after dark?;Yes.  I'd be scared for sure.;Yes, if the location is considered dangerous.;No.  No city street scares me.;No, but people should fear me.;2618;O;;descriptive
q37892;Imagine you are having sex with a partner, who begins to give you specific instructions on how to best provide satisfaction.  Assuming there is no danger, would you follow these instructions?;No.  That would be the end of that encounter.;No.  I'd continue doing it my way.;Yes, but I would be offended.;Yes.  I'd be greatful for the communication.;8875;O;;sex/intimacy
q37893;When playing games with friends, which is more important to you?;Winning.;Having fun.;Neither, I do not play games with my friends.;I don't have any friends.;16970;N;;preference
q37936;Do you consider a person's social class when you interact with them?;Yes.;No.;I'm not sure.;;3699;O;2, 3, 1;descriptive
q37986;Have you typically researched the policies of companies before you bought products from them?;Yes.;No.;;;8661;O;;descriptive
q37999;Imagine that you are in an uncommitted relationship with someone you have grown to deeply care about.  They begin to date someone else who seems to make them happier than you do.  Which would you do?;Bow out.;Try harder to win their love.;Continue as before.;;5228;O;;preference
q38004;Have you ever created a piece of art for a friend, just because you were thinking of them?;Yes.;No.;;;8861;O;;descriptive
q38020;Have you ever started your own business?;Yes.;No.;;;9405;O;;descriptive
q38021;Would you want a lover who is always open and direct about everything, if it means that you would also receive any crude negative feedback they may have for you?;Yes.;No.;;;5426;O;;preference
q38051;How often do you gamble?;Often.;Rarely.;Never.;;27266;O;;descriptive
q38072;Would it bother you if a date made gender-biased remarks?;Yes.;No.;Only if they were inaccurate.;;8311;O;2, 3, 1;"politics; preference"
q38094;How far would you be willing to travel to meet a person of interest who also has a high match percentage for you here on OkCupid?;Up to 20 miles (32km);21 to 100 miles (33 to 161km);101 to 500 miles (162 to 805km);More than 500 miles (805km);9554;O;;"preference; descriptive"
q38115;Would you object to someone bringing a young child along on a first date?;Yes.;No.;;;18637;O;;descriptive
q38173;Do you enjoy watching educational programming on television?;Yes, often.;Yes, on occasion.;No, never.;;25991;O;;descriptive
q38186;Is it ever okay to publicly argue with a significant other?;Yes.;No.;;;6329;O;;opinion
q38192;Do you get annoyed if someone uses a word or phrase incorrectly, even if you still understand the speaker's meaning?;Yes, and I'd correct them;Yes, but I wouldn't correct them;No, and I wouldn't correct them;No, but I'd still correct them;1335;O;(1, 2), (3, 4);descriptive
q38196;Regardless of where you grew up or now live, which of the following best describes the way you see yourself at heart?;I am an urban or city person.;I am a suburbanite.;I am small town or country person.;;26385;O;;descriptive
q38202;'The best days of my life' are:;In my future.;In my past.;Right now.;;11921;O;2, 3, 1;descriptive
q38210;After a date, have you ever told someone that you are going to call them, but not done it?;Yes.;No.;;;14696;O;;descriptive
q38214;Do you 'evaluate' the people you see out in public for suitability as potential partners, based on their attractiveness?;Yes.  I am very perceptive in this way.;No.  Never.;I only 'look' when I am available.;;1758;O;2, 3, 1;descriptive
q38223;Do you like to go clubbing?;Yes, I prefer to go alone.;Yes, I prefer to go with a date.;Yes, I prefer to go with friends.;No.  I do not like to go clubbing.;27207;N;;preference
q38230;Would you really like to stay home and spend an entire day (24 hours) in bed (getting up only for the necessities) with your ideal significant other?;Yes.;No.;;;23810;O;;preference
q38249;How well do you sleep when you're in unfamiliar surroundings?;Better than usual.;The same as usual.;Worse than usual.;;12218;O;;descriptive
q38263;Would you consider digging up the grave of a loved one to recover a priceless item that was accidentally buried with them?;Yes, I wouldn't hesitate, even if it were illegal.;Yes, but only if it could be done legally.;No, absolutely not.;;4971;O;;"preference; descriptive"
q38264;Might you be annoyed if someone asked you to repeat yourself?;Yes.;No.;It depends...;;4035;O;2, 3, 1;descriptive
q38296;If a significant other requested that you stop shaving or using other means of hair removal, is this something you would seriously consider?;Yes.;No.;I am already totally 'natural' in this way.;;3616;M;[3];"preference; descriptive"
q38320;Is it generally acceptable to you for a sex partner to initiate foreplay while you are sleeping?;Yes.;No.;;;26301;O;;sex/intimacy
q38423;What do you usually wear when you sleep?;Pajamas.;Underwear.;Nothing.;Something else.;26417;M;[4];descriptive
q38435;Do you read fan fiction?;Yes.;No.;I don't know.;;8599;O;2, 3, 1;descriptive
q38467;How many albums are there in your music collection?;1 to 100 albums.;101 to 300 albums.;301 or more albums.;I have no music albums.;18997;O;4, 1, 2, 3;descriptive
q38479;Imagine a law is passed that makes one of your favorite activities illegal.  Assuming you believe the activity to be harmless, would you continue pursuing it if there exists a high probability of eventually being caught?;Yes.;No.;;;2061;O;;politics
q38492;Would you be willing to lie on a job resume or application if you thought it would get you the job and you were sure you wouldn't get caught?;Yes.;No.;;;3893;O;;"descriptive; preference"
q38498;Which method do you most often use to acquire products from stores?;I usually pay with cash.;I usually pay with a check or debit card.;I usually pay with credit or a credit card.;I usually steal products rather than pay for them.;5980;N;;descriptive
q38508;Imagine that after becoming romantically involved with someone, they reveal that they formerly earned a living as a prostitute.  How would you react to this new information?;Positively.;Negatively.;Indifferently.;;9753;O;2, 3, 1;"politics; sex/intimacy; preference"
q38518;Do you enjoy using refrigerated items or ice cubes on your partner during sex?;Yes.;No.;I don't know.;;5216;O;2, 3, 1;sex/intimacy
q38534;Are you familiar with the concept of 'sexuality continuum'?;Yes - I basically agree with it.;Yes - I basically disagree with it.;No - I am not familiar with this idea.;;3016;O;2, 3, 1;"politics; sex/intimacy; religion/superstition; opinion"
q38555;How often were you picked on by other kids your age when you were growing up?;Very often.;Sometimes.;Rarely.;Never.;12527;O;;descriptive
q38578;If you had to choose one of the following, which best describes the role of sex in your life?;Sex is one of my favorite activities.;Sex is something I enjoy on occasion.;Sex is for procreation.;Sex is a means to getting things that I want.;15985;N;;sex/intimacy
q38623;Have you ever 'regifted' a gift you didn't like?;Yes.;No.;;;11221;O;;descriptive
q38646;If a significant other requested that you stop wearing antiperspirant or deodorant, is this something you would seriously consider?;Yes.;No.;I am already totally 'natural' in this way.;;5508;M;[3];"preference; descriptive"
q38653;Do you crack your knuckles?;Yes.;No.;;;11307;O;;descriptive
q38696;'The customer is always right.';True.;False.;;;5191;O;;opinion
q38710;If a significant other told you that they had two-way communication with the spirit of a dead relative, would you believe them?;Yes.;No.;;;5346;O;;religion/superstition
q38721;Imagine that you and your partner cannot agree on the choice of music.  If you were driving and your partner a passenger, how should the music be chosen?;I would play the music I like.;I would allow my partner to choose the music.;We should take turns choosing the music.;It would be best to keep the stereo off.;6281;M;2, 3, 1, [4];preference
q38767;Is it okay for men to wear makeup?;Yes;No;;;29029;O;;opinion
q38824;Have you ever raised an animal for food?;Yes.;No.;;;9492;O;;descriptive
q38838;Have you ever had sex with someone you first met online?;Yes.;No.;;;26290;O;;descriptive
q38912;How do you feel about germs?;Obsessed: I bleach anything I can't trust!;Careful: I wash my hands and cover my sneezes.;Polite: I always wash up when someone's watching.;Unconcerned: I don't actively lick doorknobs.;24415;O;;descriptive
q39147;Would you support assisted suicide/right-to-die legislation?;Yes.;No.;I don't know.;;10500;O;2, 3, 1;"politics; religion/superstition"
q39185;Which is more offensive: book burning or flag burning?;book burning;flag burning;;;36598;N;;politics
q39189;Would you date a recovering (non-drinking) alcoholic?;Yes.;No.;;;18075;O;;preference
q39210;Do you believe you've lived past lives?;Yes, I am confident I have.;No, I do not believe this is possible.;Maybe, but there is no way to really know.;;24152;O;2, 3, 1;religion/superstition
q39226;You stop to pick up a newspaper and notice that the coin-operated dispenser was not completely closed. No one is around so you have the opportunity to take a paper without paying. Which of the following would you do?;Pay for a paper and close the dispenser.;Steal a paper and close the dispenser.;Steal a paper and leave the dispenser open.;Steal all of the remaining papers.;2111;O;;"preference; descriptive"
q39291;Can two people fall in love without ever meeting in person?;Yes.;No.;;;9672;O;;opinion
q39337;Which olfactory strategy would you prefer a partner take when on a date with you?;Perfume / aftershave / cologne.;Antiperspirant or subtle deodorant only.;Clean and natural.;Sweatiness is Godliness.;15545;O;;preference
q39373;How often do you do things out of spite?;Very often.;Sometimes.;Rarely.;Never.;31964;O;;descriptive
q39385;If you were offered $5,000,000,000 US dollars to participate right now in a single round of Russian Roulette (1 in 6 chance of immediate death), would you play?;Yes.;No.;;;5271;O;;"preference; descriptive"
q39436;Do you hang out with the same group of friends almost every time you go out?;Yes.;No.;;;9602;O;;descriptive
q39576;How important is it for you to give expensive gifts on a regular basis when in a relationship?;Very important.;Somewhat important.;Not at all important.;;24735;O;;preference
q39639;Let's say a close friend told you something in confidence, but you subsequently stopped being friends with them. Do you feel free to share their secret with others?;Yes.;No.;Only if they had betrayed me.;;10215;O;2, 3, 1;opinion
q39682;Do you have a good imagination?;Yes.;No.;;;10928;O;;descriptive
q39714;Do you find the idea of shaving a partner's pubic hair exciting?;Yes.;No.;;;24479;O;;sex/intimacy
q39875;Which do you own more of?;Books.;Movies.;Music.;Games.;12277;N;;descriptive
q40007;Imagine that you receive a document that absolutely proves whether or not God exists.  Upon reading the document and finding the truth, you must decide whether or not to share the proof with the world.  Which would you do?;Share the truth regardless of what it is.;Keep the truth to myself regardless of what it is.;Share only if it proves that God exists.;Share only if it proves that God does not exist.;10445;M;3, 1, 4, [2];religion/superstition
q40038;Which biological parent should have legal decision-making power in abortion decisions?;The mother.;The father.;Both.;Neither.;8078;M;2, 3, 1, [4];"politics; religion/superstition"
q40194;How important is it that your partner be willing and able to participate in meaningful philosophical conversations?;Extremely important.;Somewhat important.;Not at all important.;;39481;O;;preference
q40279;Imagine you overhear the sounds of domestic physical violence coming from someone else's house or apartment.  How would you respond?;Call the police immediately.;Visit the neighbors and attempt to help.;Do nothing - Try to ignore it.;;6579;O;2, 3, 1;"politics; preference; descriptive"
q40288;How trusting are you where it concerns your government?;Completely.;Somewhat.;Not at all.;;27329;O;;"politics; descriptive"
q40319;Could you easily obtain illegal drugs through your social network?;Yes.;No.;Only marijuana.;;22206;O;2, 3, 1;descriptive
q40441;If you were to die, would whoever goes through your personal belongings be shocked by what they find?;Yes.;No.;Maybe a little bit.;;41572;O;2, 3, 1;descriptive
q40457;Have you ever secretly sniffed an undergarment of someone you had a crush on but were not sexually involved with?;Yes.;No.;;;16245;O;;"sex/intimacy; descriptive"
q40463;Should children be raised to speak more than one language?;Yes.;No.;It depends on other factors.;;4900;O;2, 3, 1;opinion
q40484;Would you date someone, knowing that they had a VERY close family member (parent, sibling) who was openly gay?;Yes;No;I'm Not Sure;If they didn't flaunt it, it would be all right.;10270;O;2, (3, 4), 1;"religion/superstition; preference"
q40570;Is it more important to you that you are tactful, or truthful?;Tactful;Truthful;;;27327;O;;preference
q40650;Do you and your ideal significant other enjoy making sarcastic jokes at each other's expense, knowing that it's all in good fun?;Yes! That's a personality trait we have to share.;Sometimes, but not too much.;No, sarcasm doesn't belong in a love relationship.;I can't dish it out, but I'd take it, I guess.;22675;O;3, 4, 2, 1;preference
q40762;Which parental role do you feel would come more naturally to you?;Encourager.;Protector.;Neither.;;2888;N;;descriptive
q40775;How often are you tested for STDs?;Never;Before/After every new partner;Regularly;Only when I'm worried about specific one;15689;O;3, 2, 4, 1;"sex/intimacy; descriptive"
q40846;If you're not, imagine that you are a virgin all over again.  Would you rather lose your virginity to another virgin or someone more experienced?;I'd want my first partner to be a virgin.;I'd want my first partner to be experienced.;Either would be equally fine.;Neither, I would prefer to remain a virgin.;10286;M;2, 3, 1, [4];preference
q40851;Imagine that a first date picks you up in a car.  The car is old and run-down, but otherwise clean.  How would the car affect your opinion of your date?;Positively - Any car is good.;Negatively - I don't like riding in old jalopies.;Could go either way, depending on the make/model.;Not at all - It's all about the driver.;11689;O;2, (3, 4), 1;"preference; descriptive"
q40944;Do you have a checklist of mandatory traits that you absolutely require in any significant other?;Yes.;No.;;;27473;O;;"preference; descriptive"
q41048;Imagine that a neighbor's dog routinely barks and keeps you awake at night.  You've tried politely complaining, but to no avail.  One day, you see the dog roaming freely in street, which is in violation of a local ordinance. Which would you like to do?;Call the police or animal control on the dog.;Inform owner dog is loose / remind on barking.;Make sure the dog is 'lost' or has 'an accident'.;Nothing - Just live with it.;6830;N;;"preference; descriptive"
q41060;If you were in the grocery store and saw a woman slap an unruly child one time hard on the face, would you do anything about it?;Yes.;No.;;;4270;O;;"preference; descriptive"
q41099;Right this minute, how clean is your main personal bathroom, (say the one you use every morning when you wake up in your own bed)?;Spotless, shiny, germ-free, clean clean clean.;Clean-ish but could use a quick touch-up.;Not awful, but it could use a good cleaning.;Disgusting! even I cringe when I have to use it!;27184;O;;descriptive
q41112;Have you ever written short fiction, other than for school assignments?;No.;I've tried, but never finished a story.;I've finished at least one short story.;I've written many short stories.;11374;O;;descriptive
q41113;Do you ever intentionally try to make people angry just to see how they react?;Yes.;No.;;;19382;O;;descriptive
q41152;Which do you think is more important in today's world?;Fostering intercultural harmony.;Preserving cultural traditions and diversity.;Both are equally important.;I'm not sure.;2425;O;2, (3, 4), 1;"politics; opinion"
q41232;Which of the following two is worse?;Thought without action.;Action without thought.;They are equally bad.;Both are fine with me.;6792;M;2, 3, 1, [4];opinion
q41242;Your significant other is traveling and has the opportunity to stay with a good friend that you know they find to be very attractive.  What's your stance on the situation?;It would be totally unacceptable.;It might be ok, but I'd want to discuss it first.;It's fine - I don't see any problem.;It sounds sexy - Hopefully they'll hook up.;22014;O;;preference
q41352;How important is it for your spouse to have many friends?;Very Important;Important;Somewhat Important;Not Important;9632;O;;preference
q41393;In a potential mate, is ditzyness a turn-on or a turn-off?;Turn-on. I find scatterbrained people cute.;Turn-off. I find easily-confused types annoying.;I'm neutral / it depends on their other traits.;;32249;O;2, 3, 1;preference
q41554;Would you consider attending a clothing-optional costume party where the dress code permits guests to wear nothing more than body paint?;Yes, and I'd be wearing little more than paint.;Yes, but I'd wear a more traditional costume.;No.;;12877;O;;preference
q41564;To your knowledge, do people have an unusual or humorous nickname for you?;Yes, and I like it.;Yes, but I don't like it.;No.;;8907;O;(1, 2), 3;descriptive
q41574;Have you ever tried Silent Dating?;Yes, and it was fun!;Yes, but I didn't like it.;No.;;6494;O;(1, 2), 3;descriptive
q41683;Would you consider donating your body to science after you die?;Yes.;No.;;;1512;O;;"politics; opinion; preference"
q41689;Imagine that you have a particular sexual desire you would like to satisfy with a significant other, but they are unwilling to help you fulfill it.  How would this affect your relationship?;It would end the relationship.;I would continue only if satisfied elsewhere.;I would manage without it if all else is good.;It wouldn't - Sex just isn't that important to me.;13000;O;;sex/intimacy
q41696;If you had a dream in which you were having sex with a close friend, would you tell them about it?;Yes.;No.;It depends upon which friend.;;22113;O;2, 3, 1;sex/intimacy
q41711;Imagine you have a regular sex partner, but you cannot seem to help them achieve orgasm.  Would this bother you?;Yes.;No.;;;10035;O;;sex/intimacy
q41733;Have you ever gone mountain climbing?;Yes, and I enjoyed it.;Yes, but I did not like it.;No, but I would like to some day.;No, and I do not want to.;16105;O;(1, 2), (3, 4);descriptive
q41766;Compared to others, how skilled are you at reading people's nonverbal signals, unspoken emotions, and body language?  Consider how often you notice these signals and how accurate your interpretations are.;Above average.;Average.;Below average.;;2532;O;;descriptive
q41779;Imagine that you could find someone who is your perfect match in every way but one.  In this one way, your match would be the opposite of your ideal.  From the following, select the area that represents the easiest 'sacrifice' for you:;Physical attractiveness.;Intelligence.;Emotional compatibility.;Sexual compatibility.;6813;N;;preference
q41850;How important is it for you to make physical contact when showing affection for someone?;Very important.;Somewhat important.;Not important.;;41417;O;;preference
q41856;Do you avoid exposure to sunlight?;Yes.;No, but I use sunscreen to minimize my exposure.;No.  I like to sunbathe, but only in moderation.;No.  I sunbathe as much as possible.;4532;O;;descriptive
q41878;Have you created a 'Things To Do Before I Die' list?;Yes.;No.;;;9378;O;;descriptive
q41918;Would you consider dating someone who adamantly believes that children should not be educated in traditional school settings?;Yes.;No.;;;1980;O;;preference
q41953;About how long do you want your next relationship to last?;One night;A few months to a year;Several years;The rest of my life;48614;O;;preference
q42010;Do you make any special efforts to support small, independent businesses instead of the big chains?;Yes, I support the little guys whenever I can.;No, I prefer dealing with big business chains.;I support whoever has superior products/services.;This does not concern me at all.;21617;O;2, (3, 4), 1;politics
q42062;Do you consider government taxes (such as income tax) a form of theft?;Yes;No;I'm Not Sure;;5829;O;2, 3, 1;politics
q42118;It's 2 AM. While driving home, you stop at an intersection with a red traffic light.  After waiting over six minutes, it still hasn't changed to green. No one seems to be around. What do you do?;Run the red light.;Continue to wait patiently.;Find a legal way to reroute, avoiding the light.;Abandon the vehicle and continue on foot.;13700;O;4, (2, 3), 1;descriptive
q42120;Are you a 'double dipper'?  In other words, do you ever take a bite of food and then dip it back into a shared sauce or dip?;Yes, I double dip indiscriminately.;Yes, but only with family or close friends.;Yes, but only with a partner.;No, never.;22928;O;;descriptive
q42121;Would you consider voting for a candidate from outside your own political party if they seemed superior to your party's own candidate?;Yes.;No.;I'd vote, but have no political party affiliation.;I would not vote at all.;4800;O;4, 2, 3, 1;"politics; descriptive"
q42190;Would you consider dating someone who frequently gambles with large sums of money?;Yes.;No.;;;16530;O;;preference
q42209;How many times do you usually hit the snooze button on your alarm clock?;Zero.  I get up immediately when the alarm sounds.;One or two times.;Three or more times.;I do not usually use an alarm clock to wake up.;20218;M;[4];descriptive
q42241;Have you ever given or recommended a book to a friend because you were eager to have someone to discuss it with?;Yes, many times.;Yes, once or twice.;No, never.;;1930;O;;descriptive
q42266;Do you sleep with the television on?;Yes, always;No, never ever;Sometimes;Depends on what I'm watching;8225;O;2, (3, 4), 1;descriptive
q42272;When you were a child, did you have an 'imaginary friend'?;Yes.;No.;I'm not sure.;;9942;O;2, 3, 1;descriptive
q42282;Some friends invite you to go camping where there are no showers, no toilets, and no services.  The only luxuries would be those you could carry in a pack on your back. Do you go?;Yes.;No.;;;24690;O;;descriptive
q42329;If you were offered the opportunity to eat human meat prepared any way you like, would you at least try it?;Yes;No;Only as a last resort for survival;;14804;O;2, 3, 1;descriptive
q42405;As a parent, would you consider your own children to be more important than other children?;Yes.;No.;;;5117;O;;opinion
q42406;Imagine you are becoming involved with someone who has a child that you are not getting along with.  Which of the following approaches do you feel would be best for you?;End it - Avoid getting between parent and child.;End it - Better to find someone without children.;Continue - It's not about the child anyway.;Discuss - Find a way to earn child's trust.;6798;N;;preference
q42415;Karaoke?;Absolutely!;I haven't, but I might try it.;I'd be too embarrassed.;No way! How could that be any fun?;634;O;;preference
q42442;If you were a lawyer, would you be willing to defend someone against charges for crime you were certain that they were guilty of?;Yes.;No.;;;5253;O;;"descriptive; preference"
q42524;Would you ever consider having a friendship based primarily on sex, with no intentions for love, romance, or long-term commitment?;Yes.;No.;;;24624;O;;"sex/intimacy; preference; descriptive"
q42611;Imagine you are in a serious long-term relationship and have decided it is best to break it off.  Just before you can tell your partner, he or she gives you the following news: 'I have been diagnosed with cancer and probably only have one year to live.';I'd still break it off as planned.;I'd stay with my partner and never mention it.;I'd reconsider, but eventually discuss it.;;7704;O;2, 3, 1;"preference; descriptive"
q42613;How comfortable would you be in a relationship with someone who owns and trains with deadly weapons?  Assume that this is not part of their occupation, but that no laws are being broken.;This would make me feel safer.;This would make me uncomfortable.;This would make no difference to me.;;8547;O;2, 3, 1;"preference; descriptive"
q42640;Do you consider yourself to be a picky eater?;Yes.;No.;;;20219;O;;descriptive
q42665;Would you consider dating someone who has chosen to completely abstain from drinking alcohol?;Yes.;No.;;;10123;O;;preference
q42673;Which of the following would you find most unattractive?;Dirty hair, skin, or clothing.;Body odor.;Bad breath or dirty mouth / teeth.;Dirty hands or fingernails.;3391;N;;preference
q42733;The following quote has been attributed to the ancient Greek philosopher Socrates, who lived from 470 BC - 399 BC: 'Thou shouldst eat to live, not live to eat.'  Do you agree with this philosophy?;Yes.;No.;;;1506;O;;"politics; opinion"
